,0,1,2,3,4
2012-05-03,2439 美律 (能源元件),2382 廣達 (運動科技),2308 台達電 (LED照明產業),2891 中信金 (金融),2049 上銀 (自動化)
2012-05-04,5347 世界 (半導體),6239 力成 (半導體),3443 創意 (半導體),3211 順達 (能源元件),2227 裕日車 (汽車)
2012-05-07,3211 順達 (能源元件),2308 台達電 (LED照明產業),2601 益航 (交通運輸及航運),2603 長榮 (交通運輸及航運),2201 裕隆 (汽車)
2012-05-08,2609 陽明 (交通運輸及航運),8406 金可-KY (醫療器材),2308 台達電 (LED照明產業),2603 長榮 (交通運輸及航運),2382 廣達 (運動科技)
2012-05-09,2609 陽明 (交通運輸及航運),2603 長榮 (交通運輸及航運),5871 中租-KY (太陽能產業),5009 榮剛 (航太週邊),2382 廣達 (運動科技)
2012-05-10,2618 長榮航 (交通運輸及航運),2603 長榮 (交通運輸及航運),2609 陽明 (交通運輸及航運),2357 華碩 (人工智慧),2382 廣達 (運動科技)
2012-05-11,6209 今國光 (電腦及週邊設備),3005 神基 (電腦及週邊設備),1707 葡萄王 (食品生技),2610 華航 (交通運輸及航運),2006 東和鋼鐵 (鋼鐵)
2012-05-14,2382 廣達 (運動科技),2891 中信金 (金融),1707 葡萄王 (食品生技),5880 合庫金 (金融),6505 台塑化 (油電燃氣)
2012-05-15,2412 中華電 (智慧電網),2382 廣達 (運動科技),1707 葡萄王 (食品生技),6505 台塑化 (油電燃氣),2881 富邦金 (金融)
2012-05-16,4904 遠傳 (大數據),2412 中華電 (智慧電網),1707 葡萄王 (食品生技),2382 廣達 (運動科技),3673 TPK-KY (觸控面板)
2012-05-17,6269 台郡 (印刷電路板),8039 台虹 (印刷電路板),2382 廣達 (運動科技),3673 TPK-KY (觸控面板),1513 中興電 (太陽能產業)
2012-05-18,3008 大立光 (電腦及週邊設備),6269 台郡 (印刷電路板),3005 神基 (電腦及週邊設備),4958 臻鼎-KY (印刷電路板),1513 中興電 (太陽能產業)
2012-05-21,6269 台郡 (印刷電路板),2382 廣達 (運動科技),4904 遠傳 (大數據),2883 凱基金 (金融),2823 中壽 (金融)
2012-05-22,5871 中租-KY (太陽能產業),3691 碩禾 (太陽能產業),3673 TPK-KY (觸控面板),8039 台虹 (印刷電路板),6244 茂迪 (太陽能產業)
2012-05-23,6176 瑞儀 (平面顯示器),2412 中華電 (智慧電網),3691 碩禾 (太陽能產業),6244 茂迪 (太陽能產業),8069 元太 (平面顯示器)
2012-05-24,8406 金可-KY (醫療器材),2412 中華電 (智慧電網),6176 瑞儀 (平面顯示器),5312 寶島科 (醫療器材),8039 台虹 (印刷電路板)
2012-05-25,2412 中華電 (智慧電網),3576 聯合再生 (太陽能產業),8039 台虹 (印刷電路板),6244 茂迪 (太陽能產業),2392 正崴 (平面顯示器)
2012-05-28,4958 臻鼎-KY (印刷電路板),8039 台虹 (印刷電路板),4904 遠傳 (大數據),2412 中華電 (智慧電網),4966 譜瑞-KY (元宇宙)
2012-05-29,3673 TPK-KY (觸控面板),4966 譜瑞-KY (元宇宙),5371 中光電 (人工智慧),6163 華電網 (人工智慧),1513 中興電 (太陽能產業)
2012-05-30,3443 創意 (半導體),3673 TPK-KY (觸控面板),4960 誠美材 (平面顯示器),6176 瑞儀 (平面顯示器),8299 群聯 (半導體)
2012-05-31,4966 譜瑞-KY (元宇宙),3673 TPK-KY (觸控面板),3049 精金 (觸控面板),1789 神隆 (製藥),4130 健亞 (製藥)
2012-06-01,2450 神腦 (通信網路),4933 友輝 (平面顯示器),4958 臻鼎-KY (印刷電路板),3673 TPK-KY (觸控面板),4966 譜瑞-KY (元宇宙)
2012-06-04,2610 華航 (交通運輸及航運),2204 中華 (汽車),2618 長榮航 (交通運輸及航運),3045 台灣大 (通信網路),1101 台泥 (水泥)
2012-06-05,2610 華航 (交通運輸及航運),2204 中華 (汽車),2618 長榮航 (交通運輸及航運),2201 裕隆 (汽車),2227 裕日車 (汽車)
2012-06-06,2610 華航 (交通運輸及航運),3376 新日興 (電腦及週邊設備),2376 技嘉 (電動車輛產業),3008 大立光 (電腦及週邊設備),1216 統一 (食品)
2012-06-07,3376 新日興 (電腦及週邊設備),3008 大立光 (電腦及週邊設備),2376 技嘉 (電動車輛產業),2474 可成 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備)
2012-06-08,3673 TPK-KY (觸控面板),3376 新日興 (電腦及週邊設備),3296 勝德 (電腦及週邊設備),2376 技嘉 (電動車輛產業),3008 大立光 (電腦及週邊設備)
2012-06-11,3049 精金 (觸控面板),4979 華星光 (通信網路),3673 TPK-KY (觸控面板),3376 新日興 (電腦及週邊設備),2201 裕隆 (汽車)
2012-06-12,2886 兆豐金 (金融),2905 三商 (貿易百貨),2891 中信金 (金融),2888 新光金 (金融),4979 華星光 (通信網路)
2012-06-13,2489 瑞軒 (平面顯示器),2891 中信金 (金融),2886 兆豐金 (金融),2915 潤泰全 (貿易百貨),4979 華星光 (通信網路)
2012-06-14,2201 裕隆 (汽車),9945 潤泰新 (建材營造),2227 裕日車 (汽車),5515 建國 (建材營造),4979 華星光 (通信網路)
2012-06-15,6271 同欣電 (LED照明產業),3406 玉晶光 (LED照明產業),2308 台達電 (LED照明產業),2888 新光金 (金融),2890 永豐金 (金融)
2012-06-18,3008 大立光 (電腦及週邊設備),2353 宏碁 (電腦及週邊設備),3454 晶睿 (電腦及週邊設備),4966 譜瑞-KY (元宇宙),2823 中壽 (金融)
2012-06-19,6176 瑞儀 (平面顯示器),3008 大立光 (電腦及週邊設備),6278 台表科 (LED照明產業),8069 元太 (平面顯示器),2353 宏碁 (電腦及週邊設備)
2012-06-20,4105 東洋 (製藥),8069 元太 (平面顯示器),2891 中信金 (金融),1789 神隆 (製藥),3008 大立光 (電腦及週邊設備)
