,0,1,2,3,4
2012-05-03,2439 美律 (通信網路業),2308 台達電 (電子零組件業),2809 京城銀 (其他證券),3211 順達 (電腦及週邊設備業),2890 永豐金 (金融保險業)
2012-05-04,3211 順達 (電腦及週邊設備業),2227 裕日車 (汽車工業),5471 松翰 (半導體業),2458 義隆 (半導體業),2308 台達電 (電子零組件業)
2012-05-07,3211 順達 (電腦及週邊設備業),2308 台達電 (電子零組件業),2601 益航 (貿易百貨),2603 長榮 (航運業),3015 全漢 (電子零組件業)
2012-05-08,2308 台達電 (電子零組件業),8406 金可-KY (化學生技醫療),2603 長榮 (航運業),1813 寶利徠 (生技醫療業),2601 益航 (貿易百貨)
2012-05-09,2603 長榮 (航運業),5871 中租-KY (其他),2618 長榮航 (航運業),,
2012-05-10,2618 長榮航 (航運業),2603 長榮 (航運業),2609 陽明 (航運業),2357 華碩 (電腦及週邊設備業),2610 華航 (航運業)
2012-05-11,6209 今國光 (光電業),3005 神基 (電腦及週邊設備業),1707 葡萄王 (生技醫療業),2610 華航 (航運業),2006 東和鋼鐵 (鋼鐵工業)
2012-05-14,2881 富邦金 (金融保險業),1707 葡萄王 (生技醫療業),6505 台塑化 (油電燃氣業),2880 華南金 (金融保險業),2886 兆豐金 (金融保險業)
2012-05-15,1707 葡萄王 (生技醫療業),6505 台塑化 (油電燃氣業),2881 富邦金 (金融保險業),2886 兆豐金 (金融保險業),2892 第一金 (金融保險業)
2012-05-16,4904 遠傳 (通信網路業),1707 葡萄王 (生技醫療業),3673 TPK-KY (光電業),,
2012-05-17,8039 台虹 (電子零組件業),3673 TPK-KY (光電業),5871 中租-KY (其他),4958 臻鼎-KY (電子零組件業),6274 台燿 (電子零組件業)
2012-05-18,3005 神基 (電腦及週邊設備業),3673 TPK-KY (光電業),4958 臻鼎-KY (電子零組件業),8039 台虹 (電子零組件業),3376 新日興 (電子零組件業)
2012-05-21,4904 遠傳 (通信網路業),8039 台虹 (電子零組件業),4958 臻鼎-KY (電子零組件業),2892 第一金 (金融保險業),2880 華南金 (金融保險業)
2012-05-22,5871 中租-KY (其他),3673 TPK-KY (光電業),3691 碩禾 (光電業),8039 台虹 (電子零組件業),1504 東元 (電機機械)
2012-05-23,6176 瑞儀 (光電業),3691 碩禾 (光電業),5871 中租-KY (其他),2328 廣宇 (電子零組件業),6153 嘉聯益 (電子零組件業)
2012-05-24,8406 金可-KY (化學生技醫療),6176 瑞儀 (光電業),5312 寶島科 (生技醫療業),4958 臻鼎-KY (電子零組件業),6153 嘉聯益 (電子零組件業)
2012-05-25,8039 台虹 (電子零組件業),4958 臻鼎-KY (電子零組件業),5356 協益 (電腦及週邊設備業),2355 敬鵬 (電子零組件業),
2012-05-28,8039 台虹 (電子零組件業),4958 臻鼎-KY (電子零組件業),4904 遠傳 (通信網路業),4966 譜瑞-KY (半導體業),8213 志超 (電子零組件業)
2012-05-29,5371 中光電 (光電業),3673 TPK-KY (光電業),6163 華電網 (通信網路業),4966 譜瑞-KY (半導體業),2406 國碩 (光電業)
2012-05-30,3443 創意 (半導體業),3673 TPK-KY (光電業),4960 誠美材 (光電業),6176 瑞儀 (光電業),3105 穩懋 (半導體業)
2012-05-31,4966 譜瑞-KY (半導體業),3673 TPK-KY (光電業),1789 神隆 (生技醫療業),4105 東洋 (生技醫療業),
