,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2012-05-03,2439 美律 (能源元件),2379 瑞昱 (半導體),2458 義隆 (半導體),6147 頎邦 (半導體),3189 景碩 (半導體),1722 台肥 (其他),,,,,,,,,
2012-05-04,2308 台達電 (LED照明產業),2357 華碩 (人工智慧),2458 義隆 (半導體),5871 中租-KY (太陽能產業),2379 瑞昱 (半導體),1504 東元 (人工智慧),3406 玉晶光 (LED照明產業),3691 碩禾 (太陽能產業),,,,,,,
2012-05-07,2308 台達電 (LED照明產業),2454 聯發科 (半導體),2603 長榮 (交通運輸及航運),3105 穩懋 (半導體),8044 網家 (電子商務),2618 長榮航 (交通運輸及航運),,,,,,,,,
2012-05-08,2308 台達電 (LED照明產業),2357 華碩 (人工智慧),2603 長榮 (交通運輸及航運),2618 長榮航 (交通運輸及航運),,,,,,,,,,,
2012-05-09,2603 長榮 (交通運輸及航運),2618 長榮航 (交通運輸及航運),6147 頎邦 (半導體),4938 和碩 (半導體),2455 全新 (半導體),2458 義隆 (半導體),,,,,,,,,
2012-05-10,3105 穩懋 (半導體),4938 和碩 (半導體),2603 長榮 (交通運輸及航運),2455 全新 (半導體),2609 陽明 (交通運輸及航運),2618 長榮航 (交通運輸及航運),3189 景碩 (半導體),2330 台積電 (半導體),2347 聯強 (半導體),2357 華碩 (人工智慧),2610 華航 (交通運輸及航運),5347 世界 (半導體),,,
2012-05-11,4938 和碩 (半導體),2347 聯強 (半導體),3105 穩懋 (半導體),2330 台積電 (半導體),2455 全新 (半導體),3005 神基 (電腦及週邊設備),2385 群光 (電腦及週邊設備),5347 世界 (半導體),,,,,,,
2012-05-14,4958 臻鼎-KY (印刷電路板),2881 富邦金 (金融),2880 華南金 (金融),2886 兆豐金 (金融),8039 台虹 (印刷電路板),2892 第一金 (金融),,,,,,,,,
2012-05-15,3376 新日興 (電腦及週邊設備),3231 緯創 (電腦及週邊設備),,,,,,,,,,,,,
2012-05-16,4904 遠傳 (大數據),8039 台虹 (印刷電路板),3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),2383 台光電 (印刷電路板),,,,,,,,,,
2012-05-17,8039 台虹 (印刷電路板),3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),6176 瑞儀 (平面顯示器),6274 台燿 (印刷電路板),,,,,,,,,,
2012-05-18,3005 神基 (電腦及週邊設備),3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),8039 台虹 (印刷電路板),3691 碩禾 (太陽能產業),2328 廣宇 (印刷電路板),3376 新日興 (電腦及週邊設備),3231 緯創 (電腦及週邊設備),,,,,,,
2012-05-21,3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),8039 台虹 (印刷電路板),3231 緯創 (電腦及週邊設備),,,,,,,,,,,
2012-05-22,5871 中租-KY (太陽能產業),3673 TPK-KY (觸控面板),3691 碩禾 (太陽能產業),8039 台虹 (印刷電路板),4958 臻鼎-KY (印刷電路板),6176 瑞儀 (平面顯示器),,,,,,,,,
2012-05-23,3673 TPK-KY (觸控面板),6176 瑞儀 (平面顯示器),3691 碩禾 (太陽能產業),2328 廣宇 (印刷電路板),5871 中租-KY (太陽能產業),4958 臻鼎-KY (印刷電路板),6153 嘉聯益 (印刷電路板),8039 台虹 (印刷電路板),,,,,,,
2012-05-24,6176 瑞儀 (平面顯示器),3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),8039 台虹 (印刷電路板),6153 嘉聯益 (印刷電路板),,,,,,,,,,
2012-05-25,3673 TPK-KY (觸控面板),8039 台虹 (印刷電路板),4904 遠傳 (大數據),4958 臻鼎-KY (印刷電路板),,,,,,,,,,,
2012-05-28,3673 TPK-KY (觸控面板),4958 臻鼎-KY (印刷電路板),8039 台虹 (印刷電路板),4904 遠傳 (大數據),,,,,,,,,,,
2012-05-29,6176 瑞儀 (平面顯示器),4958 臻鼎-KY (印刷電路板),3673 TPK-KY (觸控面板),8039 台虹 (印刷電路板),6153 嘉聯益 (印刷電路板),5371 中光電 (人工智慧),,,,,,,,,
2012-05-30,4958 臻鼎-KY (印刷電路板),3673 TPK-KY (觸控面板),6153 嘉聯益 (印刷電路板),6176 瑞儀 (平面顯示器),8039 台虹 (印刷電路板),1504 東元 (人工智慧),,,,,,,,,
2012-05-31,3673 TPK-KY (觸控面板),3005 神基 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備),2474 可成 (電腦及週邊設備),2059 川湖 (其他),,,,,,,,,,
2012-06-01,3673 TPK-KY (觸控面板),2317 鴻海 (通信網路),6176 瑞儀 (平面顯示器),2059 川湖 (其他),2489 瑞軒 (平面顯示器),,,,,,,,,,
2012-06-04,2610 華航 (交通運輸及航運),2618 長榮航 (交通運輸及航運),1102 亞泥 (水泥),2474 可成 (電腦及週邊設備),3045 台灣大 (通信網路),2317 鴻海 (通信網路),5388 中磊 (通信網路),2609 陽明 (交通運輸及航運),,,,,,,
